experiment,dataset,threads,avg_hnsw,avg_hnswio,avg_io,io_ratio,hnsw_ratio
multi,deep,1,921.2922061971436,2022.1353124890338,1100.8431062918905,54.43963613576728,45.56036386423274
multi,fashion-mnist,1,577.8129276765975,1396.659788749693,818.8468610730955,58.628942257021464,41.371057742978536
multi,glove,1,2129.714636628417,3083.0345650419345,953.3199284135172,30.921480388934608,69.07851961106537
multi,glove1M,1,2411.0381443660735,3394.14748920939,983.109344843317,28.964838680958906,71.03516131904111
multi,mnist,1,672.7851703688108,1463.4097624311332,790.6245920623223,54.02619364441533,45.97380635558467
multi,sift,1,749.9127627469558,1813.721374179738,1063.8086114327823,58.65336465552178,41.34663534447823
offset,deep,1,848.7985614035088,1215.443789473684,366.6452280701754,30.165543749986284,69.83445625001372
offset,deep,2,989.4711228070177,1408.5927719298245,419.121649122807,29.754635795027884,70.24536420497213
offset,deep,4,984.5378596491228,1470.1912631578946,485.6534035087719,33.033348495461304,66.9666515045387
offset,deep,8,1263.0128771929824,1950.489894736842,687.4770175438597,35.24637678969433,64.75362321030568
offset,deep,16,1913.898245614035,2845.656350877193,931.758105263158,32.74317030501372,67.25682969498628
offset,fashion-mnist,1,583.9674736842106,1024.3024561403508,440.3349824561403,42.9887656537851,57.01123434621491
offset,fashion-mnist,2,628.4041052631579,1167.493403508772,539.089298245614,46.17493311957403,53.825066880425965
offset,fashion-mnist,4,676.9551228070176,1256.195543859649,579.2404210526315,46.110689047098575,53.88931095290144
offset,fashion-mnist,8,935.7397543859648,1848.0460701754384,912.3063157894736,49.36599419855733,50.63400580144267
offset,fashion-mnist,16,1238.6355789473685,2243.7270175438593,1005.0914385964912,44.79562044480503,55.20437955519498
offset,glove,1,2062.939473684211,2401.062140350877,338.12266666666665,14.082212242006173,85.91778775799385
offset,glove,2,2462.770245614035,2806.3299649122805,343.5597192982456,12.242313754754228,87.75768624524578
offset,glove,4,2490.486140350877,2847.1253333333334,356.6391929824561,12.52629059939954,87.47370940060046
offset,glove,8,3743.836245614035,4178.072456140351,434.2362105263158,10.393218764986607,89.60678123501337
offset,glove,16,5976.3797894736845,6523.067719298245,546.6879298245614,8.380840937879675,91.61915906212033
offset,glove1M,1,2323.458350877193,2665.796561403509,342.33821052631583,12.841873062739603,87.15812693726039
offset,glove1M,2,2636.243543859649,2992.145614035088,355.9020701754386,11.894543785102869,88.10545621489713
offset,glove1M,4,2625.375403508772,2980.5010175438597,355.1256140350877,11.914963690491739,88.08503630950825
offset,glove1M,8,3807.575649122807,4224.333157894736,416.75750877192985,9.86564016602392,90.13435983397609
offset,glove1M,16,6110.24698245614,6629.074385964913,518.8274035087719,7.826543696767593,92.1734563032324
offset,mnist,1,708.7191228070175,1202.4041754385964,493.6850526315789,41.05816186570537,58.94183813429462
offset,mnist,2,755.4932280701754,1285.6599649122807,530.1667368421053,41.23693288359321,58.76306711640679
offset,mnist,4,811.1781052631578,1458.1353333333334,646.9572280701755,44.36880536947248,55.63119463052752
offset,mnist,8,1151.5720701754387,2057.846596491228,906.2745263157894,44.03994582788876,55.96005417211125
offset,mnist,16,1461.8236842105264,2575.686350877193,1113.8626666666667,43.24527581890249,56.754724181097515
offset,sift,1,764.802947368421,1131.5113684210526,366.7084210526316,32.40872617694936,67.59127382305064
offset,sift,2,861.6782456140351,1286.4800701754386,424.80182456140346,33.020474580960496,66.9795254190395
offset,sift,4,865.0214736842105,1361.9020350877192,496.8805614035088,36.48431007532088,63.51568992467913
offset,sift,8,1167.4142105263156,1809.9958245614034,642.5816140350877,35.50182852995241,64.49817147004758
offset,sift,16,1875.123754385965,2701.7444210526314,826.6206666666667,30.595812846894137,69.40418715310587
single,deep,1,828.6680703231918,1696.7095132820998,868.0414429589079,51.16028619888952,48.83971380111046
single,deep,2,1050.9473628803032,1074.2334982629752,23.28613538267186,2.167697751031345,97.83230224896865
single,fashion-mnist,1,570.786293294031,1295.5837105660246,724.7974172719936,55.943696371061854,44.056303628938146
single,glove,1,2036.8188230340036,2889.510264238341,852.6914412043374,29.509894868952895,70.49010513104712
single,glove1M,1,2301.050180720778,3160.356528757413,859.3063480366354,27.19017111574108,72.80982888425895
single,glove1M,2,2413.4607853458256,2435.927781871776,22.4669965259501,0.9223178409947103,99.07768215900528
single,mnist,1,673.2848370003861,1399.9030775169315,726.6182405165456,51.90489628791871,48.095103712081304
single,sift,1,817.6628417026354,1624.021370670597,806.3585289679617,49.65196539470396,50.34803460529606
single,sift,2,845.2461311717024,867.3277537986454,22.081622626943187,2.5459375109619224,97.4540624890381
